time,open,high,low,close,volume,ret_%
2025-09-11 09:46:00+00:00,113750.0,113750.1,113722.2,113735.0,106.286,0.0527569924997362
2025-09-11 09:47:00+00:00,113734.9,113825.3,113734.9,113825.3,96.832,0.8467497296205106
2025-09-11 09:48:00+00:00,113825.3,113840.4,113825.2,113833.8,49.65,0.9214888023283407
2025-09-11 09:49:00+00:00,113833.9,113850.0,113811.9,113833.6,86.662,0.919730235911631
2025-09-11 09:50:00+00:00,113833.6,113849.3,113826.3,113833.7,72.541,0.9206095191200969
2025-09-11 09:51:00+00:00,113833.6,113833.7,113802.6,113823.6,31.107,0.8318019150788114
2025-09-11 09:52:00+00:00,113823.6,113833.6,113823.5,113832.4,14.027,0.909178837411595
2025-09-11 09:53:00+00:00,113832.4,113832.4,113809.6,113809.7,11.196,0.7095815491211521
2025-09-11 09:54:00+00:00,113809.7,113809.7,113805.9,113805.9,5.985,0.6761687872045563
2025-09-11 09:55:00+00:00,113805.9,113806.0,113805.9,113806.0,8.018,0.6770480704130222
2025-09-11 09:56:00+00:00,113806.0,113806.0,113805.9,113805.9,8.546,0.6761687872045563
2025-09-11 09:57:00+00:00,113805.9,113819.9,113805.9,113819.9,38.606,0.7992684363706815
2025-09-11 09:58:00+00:00,113819.9,113870.6,113819.8,113870.6,35.97,1.2450650229933746
2025-09-11 09:59:00+00:00,113870.6,113870.6,113843.7,113857.5,41.056,1.12987892270211
2025-09-11 10:00:00+00:00,113857.5,113857.5,113839.9,113840.0,30.49,0.9760043612447866
2025-09-11 10:01:00+00:00,113840.0,113870.5,113839.9,113840.0,38.83,0.9760043612447866
2025-09-11 10:02:00+00:00,113840.0,113900.0,113839.9,113899.9,223.496,1.5026950030334607
2025-09-11 10:03:00+00:00,113900.0,113911.3,113899.9,113911.3,46.041,1.602933288783026
2025-09-11 10:04:00+00:00,113911.3,113941.0,113911.2,113937.7,75.305,1.835064055781599
2025-09-11 10:05:00+00:00,113937.6,113937.6,113891.2,113908.4,51.955,1.5774340757415128
2025-09-11 10:06:00+00:00,113908.3,113935.1,113908.3,113916.9,40.478,1.652173148449343
2025-09-11 10:07:00+00:00,113916.9,113916.9,113874.8,113874.8,20.984,1.2819949177431678
2025-09-11 10:08:00+00:00,113874.8,113899.9,113874.8,113899.9,24.804,1.5026950030334607
2025-09-11 10:09:00+00:00,113899.9,113906.1,113894.8,113894.9,26.369,1.4587308426170509
2025-09-11 10:10:00+00:00,113895.0,113895.0,113879.8,113890.0,18.999,1.415645965409107
2025-09-11 10:11:00+00:00,113890.0,113916.2,113889.9,113910.6,25.266,1.5967783063246532
2025-09-11 10:12:00+00:00,113910.7,113919.3,113910.6,113919.2,10.742,1.6723966622409492
2025-09-11 10:13:00+00:00,113919.3,113925.0,113908.1,113908.1,17.622,1.5747962261165593
2025-09-11 10:14:00+00:00,113908.2,113919.3,113901.7,113919.3,29.169,1.673275945449193
2025-09-11 10:15:00+00:00,113919.3,113925.0,113895.1,113895.1,18.201,1.4604894090337606
2025-09-11 10:16:00+00:00,113895.2,113895.2,113890.0,113890.1,15.331,1.4165252486173507
2025-09-11 10:17:00+00:00,113890.1,113890.1,113890.0,113890.0,7.778,1.415645965409107
2025-09-11 10:18:00+00:00,113890.0,113911.0,113890.0,113902.0,14.935,1.5211599504083573
2025-09-11 10:19:00+00:00,113902.0,113971.6,113899.5,113932.4,175.081,1.7884620457402356
2025-09-11 10:20:00+00:00,113932.4,113953.8,113930.3,113930.3,19.188,1.769997098365339
2025-09-11 10:21:00+00:00,113930.4,113930.4,113930.3,113930.3,13.666,1.769997098365339
2025-09-11 10:22:00+00:00,113930.3,113930.4,113900.1,113900.2,15.607,1.5053328526584142
2025-09-11 10:23:00+00:00,113900.1,113900.2,113900.1,113900.2,24.434,1.5053328526584142
2025-09-11 10:24:00+00:00,113900.2,113932.5,113895.0,113930.9,53.224,1.775272797615246
2025-09-11 10:25:00+00:00,113930.9,113930.9,113890.1,113890.1,46.228,1.4165252486173507
2025-09-11 10:26:00+00:00,113890.0,113890.0,113843.7,113843.8,42.062,1.0094171231611604
2025-09-11 10:27:00+00:00,113843.8,113904.3,113843.7,113904.2,41.313,1.5405041809917197
2025-09-11 10:28:00+00:00,113904.3,113909.6,113904.2,113909.6,12.038,1.587985474241549
2025-09-11 10:29:00+00:00,113909.6,113934.6,113909.5,113934.6,8.757,1.807806276323598
2025-09-11 10:30:00+00:00,113934.6,113937.1,113904.3,113915.2,29.613,1.6372253339078657
2025-09-11 10:31:00+00:00,113915.2,113939.9,113915.1,113939.9,22.742,1.8544082863649614
2025-09-11 10:32:00+00:00,113939.9,113975.4,113939.8,113975.4,56.773,2.1665538253214933
2025-09-11 10:33:00+00:00,113975.4,113987.5,113975.3,113979.6,29.734,2.2034837200715085
2025-09-11 10:34:00+00:00,113979.6,114025.7,113979.5,114025.7,47.745,2.608833279110767
2025-09-11 10:35:00+00:00,114025.7,114037.1,114011.4,114011.5,85.095,2.4839750635281543
2025-09-11 10:36:00+00:00,114011.5,114011.5,113980.6,113980.6,25.299,2.212276552154835
2025-09-11 10:37:00+00:00,113980.7,114042.8,113972.0,113972.0,85.922,2.136658196238317
2025-09-11 10:38:00+00:00,113971.9,113972.0,113943.8,113943.8,24.944,1.888700331489801
2025-09-11 10:39:00+00:00,113943.9,114001.9,113943.8,114001.8,81.275,2.398684592320288
2025-09-11 10:40:00+00:00,114001.8,114028.1,114001.8,114020.7,33.247,2.5648691186943573
2025-09-11 10:41:00+00:00,114020.7,114042.7,113993.8,113993.8,61.042,2.3283419356541213
2025-09-11 10:42:00+00:00,113993.8,114008.3,113980.0,114008.3,36.262,2.4558380008616876
2025-09-11 10:43:00+00:00,114008.2,114022.5,114001.4,114001.4,19.037,2.395167459486869
2025-09-11 10:44:00+00:00,114001.4,114001.5,113996.3,113996.4,12.946,2.351203299070459
2025-09-11 10:45:00+00:00,113996.3,113996.4,113993.0,113993.1,8.859,2.3221869531957484
2025-09-11 10:46:00+00:00,113993.0,114005.8,113988.0,114005.8,33.677,2.4338559206535937
2025-09-11 10:47:00+00:00,114005.8,114005.8,114005.7,114005.8,6.995,2.4338559206535937
2025-09-11 10:48:00+00:00,114005.8,114005.8,113979.7,113979.7,28.362,2.2043630032797523
2025-09-11 10:49:00+00:00,113979.7,114004.8,113979.7,114004.7,18.437,2.4241838053618014
2025-09-11 10:50:00+00:00,114004.8,114065.0,114004.7,114050.1,61.422,2.8233783819431313
2025-09-11 10:51:00+00:00,114050.0,114050.1,114017.6,114017.7,36.426,2.5384906224446
2025-09-11 10:52:00+00:00,114017.7,114031.7,114013.5,114013.6,18.028,2.502440010903273
2025-09-11 10:53:00+00:00,114013.5,114036.1,114013.5,114015.2,37.223,2.5165085422362843
2025-09-11 10:54:00+00:00,114015.1,114015.2,113986.1,114009.4,26.951,2.4655101161532578
2025-09-11 10:55:00+00:00,114009.5,114009.5,114004.5,114009.5,13.051,2.4663893993617236
2025-09-11 10:56:00+00:00,114009.5,114009.5,114005.6,114007.1,9.708,2.4452866023618736
2025-09-11 10:57:00+00:00,114007.0,114007.1,113988.0,114000.0,36.02,2.382857494570345
2025-09-11 10:58:00+00:00,114000.0,114000.0,113987.1,113992.8,9.013,2.319549103570795
2025-09-11 10:59:00+00:00,113992.9,114024.4,113992.8,114003.1,59.152,2.410115274028568
2025-09-11 11:00:00+00:00,114003.1,114003.1,113970.0,113970.0,36.233,2.119072532071886
2025-09-11 11:01:00+00:00,113970.1,114006.6,113970.0,113972.2,33.219,2.1384167626550266
2025-09-11 11:02:00+00:00,113972.2,113990.0,113964.0,113989.9,12.237,2.2940498905292817
2025-09-11 11:03:00+00:00,113989.9,113998.2,113979.3,113998.1,16.189,2.3661511136121582
2025-09-11 11:04:00+00:00,113998.2,113998.2,113982.5,113991.0,15.599,2.303722005820852
2025-09-11 11:05:00+00:00,113991.0,113991.0,113970.0,113970.0,15.391,2.119072532071886
2025-09-11 11:06:00+00:00,113970.1,113975.7,113970.0,113975.6,33.054,2.168312391738203
2025-09-11 11:07:00+00:00,113975.7,113981.2,113975.6,113981.1,16.987,2.216672968196276
2025-09-11 11:08:00+00:00,113981.2,113991.1,113964.2,113975.6,58.234,2.168312391738203
2025-09-11 11:09:00+00:00,113975.6,113975.7,113942.5,113942.5,36.16,1.877269649781521
2025-09-11 11:10:00+00:00,113942.6,113975.1,113930.1,113975.1,47.915,2.163915975696762
2025-09-11 11:11:00+00:00,113975.1,113975.1,113950.5,113972.4,33.378,2.1401753290717362
2025-09-11 11:12:00+00:00,113972.5,113975.0,113950.5,113952.4,77.863,1.964318687405875
2025-09-11 11:13:00+00:00,113952.5,114063.1,113952.4,114028.4,503.875,2.6325739257357927
2025-09-11 11:14:00+00:00,114028.5,114031.7,114009.5,114009.5,55.12,2.4663893993617236
